期号,开奖日期,前区 1,前区 2,前区 3,前区 4,前区 5,后区 1,后区 2,一等奖注数,一等奖奖金,奖池金额
26041,2026-04-18,24,25,27,29,34,02,06,6,8170700,804564900
26040,2026-04-15,06,12,13,21,34,08,09,6,7492423,776038689
26039,2026-04-13,09,11,20,26,27,06,09,11,5717710,760888094
26038,2026-04-11,08,17,21,33,35,06,07,2,10000000,799997856
26037,2026-04-08,07,12,13,28,32,06,08,5,8402519,756781636
26036,2026-04-06,04,07,16,26,32,05,08,9,6291520,732445105
26035,2026-04-04,02,22,30,33,34,08,12,11,6715340,744740092
26034,2026-04-01,11,12,25,26,27,08,11,6,6785341,745020716
26033,2026-03-30,03,05,07,09,18,02,10,12,5620374,743671788
26032,2026-03-28,03,04,19,26,32,01,12,6,8149825,787204236
26031,2026-03-25,06,08,22,29,34,05,07,9,7576500,762397268
26030,2026-03-23,02,13,22,28,34,05,12,8,7605701,801741817
26029,2026-03-21,03,05,17,33,35,05,07,6,7877022,834276730
26028,2026-03-18,15,27,29,30,34,01,10,1,10000000,861344046
26027,2026-03-16,09,10,11,12,16,01,11,7,6985349,799972392
26026,2026-03-14,10,11,22,26,32,01,08,3,9638333,794063794
26025,2026-03-11,03,15,24,28,29,03,07,10,5872341,761949362
26024,2026-03-09,02,04,08,10,21,09,12,3,9889639,790603787
26023,2026-03-07,09,25,26,27,28,01,08,6,7177297,763063925
26022,2026-03-04,05,09,10,18,26,05,06,10,5746008,753076288
26021,2026-03-02,05,08,12,14,17,04,05,7,6463717,783711295
26020,2026-02-28,01,10,21,23,29,10,12,3,10000000,823831821
26019,2026-02-25,12,13,14,16,31,04,12,8,7528120,780263624
26018,2026-02-11,09,11,19,30,35,01,12,7,6692203,761611231
26017,2026-02-09,04,05,10,23,31,07,12,6,7044236,762704025
26016,2026-02-07,08,09,12,19,24,01,06,13,5925957,755649052
26015,2026-02-04,01,04,10,13,17,03,11,4,9339920,829148796
26014,2026-02-02,16,18,23,34,35,01,06,2,10000000,842732986
26013,2026-01-31,03,05,06,23,26,01,04,10,6149358,782886373
26012,2026-01-28,01,02,09,22,25,01,06,5,6986204,799554979
